iter	Logloss
0	0.6563607007
1	0.6263064939
2	0.6009406199
3	0.5892816513
4	0.5678486643
5	0.5520356727
6	0.5407001212
7	0.5331357776
8	0.52633789
9	0.5076925372
10	0.502036263
11	0.4971349523
12	0.4895714132
13	0.4785974466
14	0.4750710697
15	0.4652069285
16	0.4619024725
17	0.4575628333
18	0.451131513
19	0.448523284
20	0.4451370113
21	0.442726155
22	0.4402051189
23	0.4375865378
24	0.4351980304
25	0.4291376654
26	0.4273711451
27	0.4231091829
28	0.421664416
29	0.4202220258
30	0.4184429867
31	0.4170924246
32	0.4141836419
33	0.4092455999
34	0.4079950975
35	0.4064481068
36	0.4046081589
37	0.4036242643
38	0.4000602569
39	0.3991952888
40	0.397066262
41	0.3963171196
42	0.3956019081
43	0.3941234819
44	0.3933913231
45	0.3926302024
46	0.3908475046
47	0.3901521557
48	0.3894885565
49	0.3877662237
50	0.3867374233
51	0.3861809308
52	0.3846613114
53	0.3830315628
54	0.3824028196
55	0.3818200993
56	0.38072416
57	0.3796661459
58	0.3789985394
59	0.3783991359
60	0.3768427472
61	0.3763842979
62	0.3759131067
63	0.3752272502
64	0.3748519966
65	0.3739535455
66	0.3735793636
67	0.3730324667
68	0.3725040615
69	0.3719320864
70	0.371645286
71	0.3707939778
72	0.3701445671
73	0.3697886996
74	0.3685673235
75	0.3679887646
76	0.367566626
77	0.3668933344
78	0.3666186915
79	0.3662777719
80	0.3656578922
81	0.3649069766
82	0.3641634397
83	0.3639293031
84	0.3630048197
85	0.3626063687
86	0.3616022201
87	0.361330909
88	0.3605753089
89	0.360251433
90	0.3596913069
91	0.3593533111
92	0.3582391287
93	0.3580179245
94	0.3577109725
95	0.3571938582
96	0.3564668766
97	0.3561649337
98	0.3557150925
99	0.3545326232
100	0.3541920004
101	0.3534934639
102	0.3532324671
103	0.3526016777
104	0.3519138911
105	0.3516651312
106	0.3514663675
107	0.3512790648
108	0.3510048903
109	0.3507734681
110	0.350527302
111	0.3503217361
112	0.3500596822
113	0.3498348647
114	0.3493946524
115	0.349080458
116	0.3489104423
117	0.3484499989
118	0.3476401959
119	0.3474449016
120	0.3470765987
121	0.3468265659
122	0.346292467
123	0.3460260277
124	0.3456227117
125	0.3453800974
126	0.34496772
127	0.3442750269
128	0.3440378692
129	0.343578635
130	0.342951515
131	0.3426668189
132	0.3422064325
133	0.3418319099
134	0.3416249998
135	0.3414668394
136	0.341038342
137	0.3408741193
138	0.3406620298
139	0.3404773217
140	0.3395677899
141	0.3393676862
142	0.339178017
143	0.3387400697
144	0.3381542378
145	0.3376840586
146	0.3370125235
147	0.3368332633
148	0.3354099915
149	0.3345854544
150	0.3344221515
151	0.3341924986
152	0.3339466623
153	0.3337128201
154	0.3333849623
155	0.3326153815
156	0.332392035
157	0.3321009304
158	0.3317103672
159	0.3316791831
160	0.3311922982
161	0.3307835043
162	0.3305710607
163	0.3293365375
164	0.3291103976
165	0.3289406601
166	0.3288218042
167	0.3286632111
168	0.3285134655
169	0.3282867819
170	0.3279870633
171	0.3278412403
172	0.3274637354
173	0.3273063094
174	0.3269758129
175	0.32679146
176	0.3261613411
177	0.3259014111
178	0.3256495914
179	0.3245331543
180	0.3243422404
181	0.3238687488
182	0.323473493
183	0.3230653756
184	0.3229247743
185	0.3226476586
186	0.3224569381
187	0.3222945366
188	0.321817479
189	0.3216482383
190	0.3214719367
191	0.3213063019
192	0.3202500184
193	0.3197756551
194	0.3196163906
195	0.3190394319
196	0.3188478357
197	0.3185921363
198	0.318512417
199	0.3183438023
200	0.3181694056
201	0.3177727679
202	0.317550862
203	0.3173511295
204	0.316897899
205	0.3167572931
206	0.316318531
207	0.3160699398
208	0.315914396
209	0.3151213389
210	0.3149922869
211	0.3141549847
212	0.3134579607
213	0.3132331228
214	0.3131225745
215	0.3127295701
216	0.3108781557
217	0.3096876865
218	0.3086831359
219	0.3084257434
220	0.3080844539
221	0.3078009772
222	0.3076510363
223	0.3074897843
224	0.3072144393
225	0.3059554228
226	0.3055253655
227	0.3053749561
228	0.3051335278
229	0.3049975534
230	0.3048561188
231	0.3047353951
232	0.3045410848
233	0.3044173934
234	0.304243588
235	0.3040851924
236	0.303942896
237	0.3037974396
238	0.3036598886
239	0.3033567173
240	0.3030644557
241	0.3028616038
242	0.3026789513
243	0.3023418452
244	0.3021261466
245	0.3017929227
246	0.3015851334
247	0.3014400189
248	0.3008959948
249	0.300271785
250	0.3000283013
251	0.2998503296
252	0.2996824083
253	0.2995543593
254	0.2993390116
255	0.2990178286
256	0.2988488575
257	0.2987361484
258	0.2985538319
259	0.2982363442
260	0.298098657
261	0.2968798421
262	0.2960413253
263	0.2958150883
264	0.2948605588
265	0.2944826246
266	0.2943637846
267	0.2941886855
268	0.2934760599
269	0.2932608373
270	0.2930743987
271	0.2923498368
272	0.2918910649
273	0.2916951831
274	0.2915294063
275	0.2913433964
276	0.2911506346
277	0.2908978943
278	0.2907801335
279	0.2906900866
280	0.2905204213
281	0.2903896696
282	0.2902685461
283	0.2900011252
284	0.2892040131
285	0.289048599
286	0.2889244867
287	0.2885213979
288	0.2883702704
289	0.2881755416
290	0.2877664304
291	0.2875864414
292	0.287470733
293	0.2869736519
294	0.2868106722
295	0.2866710735
296	0.2865686155
297	0.286351891
298	0.2861042054
299	0.2859615463
