iter	Passed	Remaining
0	8	2605
1	16	2486
2	25	2515
3	34	2531
4	41	2474
5	50	2452
6	58	2437
7	65	2407
8	74	2399
9	82	2393
10	93	2446
11	101	2429
12	107	2383
13	115	2367
14	123	2347
15	131	2341
16	139	2326
17	147	2304
18	154	2291
19	163	2284
20	170	2265
21	178	2255
22	186	2243
23	194	2239
24	201	2221
25	210	2222
26	218	2213
27	227	2205
28	234	2188
29	241	2174
30	249	2162
31	257	2153
32	264	2138
33	272	2130
34	280	2122
35	288	2114
36	295	2101
37	303	2090
38	311	2081
39	318	2072
40	326	2059
41	333	2049
42	341	2039
43	349	2033
44	356	2021
45	363	2009
46	371	1999
47	379	1994
48	388	1988
49	395	1979
50	404	1974
51	411	1961
52	418	1951
53	426	1943
54	435	1938
55	443	1930
56	450	1920
57	458	1913
58	466	1907
59	475	1902
60	484	1896
61	491	1887
62	499	1878
63	506	1869
64	514	1860
65	521	1850
66	530	1843
67	537	1834
68	545	1826
69	552	1816
70	560	1808
71	568	1798
72	577	1794
73	584	1784
74	592	1776
75	599	1768
76	607	1760
77	615	1750
78	623	1743
79	630	1733
80	638	1725
81	646	1717
82	653	1709
83	662	1702
84	670	1695
85	678	1689
86	686	1681
87	694	1674
88	702	1666
89	712	1663
90	720	1655
91	728	1646
92	735	1637
93	743	1629
94	751	1621
95	758	1612
96	766	1603
97	774	1596
98	781	1586
99	788	1577
100	797	1571
101	805	1562
102	812	1554
103	820	1545
104	827	1537
105	835	1528
106	842	1520
107	850	1512
108	858	1505
109	866	1497
110	874	1489
111	882	1482
112	890	1474
113	898	1466
114	906	1457
115	913	1449
116	921	1441
117	929	1433
118	937	1425
119	944	1417
120	953	1410
121	961	1402
122	969	1395
123	977	1386
124	985	1379
125	993	1372
126	1001	1364
127	1009	1356
128	1017	1349
129	1025	1340
130	1033	1332
131	1041	1324
132	1049	1317
133	1056	1309
134	1065	1301
135	1072	1293
136	1082	1287
137	1090	1279
138	1098	1272
139	1106	1264
140	1114	1256
141	1121	1248
142	1129	1240
143	1138	1233
144	1146	1226
145	1154	1217
146	1162	1209
147	1169	1201
148	1178	1194
149	1187	1187
150	1194	1178
151	1202	1171
152	1212	1164
153	1221	1157
154	1229	1150
155	1241	1145
156	1253	1141
157	1264	1136
158	1273	1129
159	1279	1119
160	1288	1112
161	1296	1104
162	1305	1097
163	1313	1089
164	1321	1081
165	1329	1073
166	1337	1065
167	1345	1057
168	1354	1049
169	1362	1041
170	1371	1034
171	1379	1026
172	1388	1019
173	1396	1011
174	1406	1004
175	1415	996
176	1423	989
177	1432	981
178	1440	973
179	1448	965
180	1457	958
181	1466	950
182	1474	942
183	1483	935
184	1491	926
185	1499	919
186	1507	911
187	1515	903
188	1524	895
189	1532	887
190	1542	880
191	1549	871
192	1558	864
193	1566	855
194	1574	847
195	1582	839
196	1590	831
197	1599	823
198	1607	815
199	1615	807
200	1623	799
201	1632	791
202	1641	784
203	1650	776
204	1658	768
205	1667	760
206	1675	752
207	1684	745
208	1693	737
209	1702	729
210	1711	721
211	1720	713
212	1728	706
213	1738	698
214	1747	690
215	1756	683
216	1764	674
217	1773	666
218	1781	659
219	1789	650
220	1799	643
221	1807	635
222	1815	626
223	1824	618
224	1833	611
225	1840	602
226	1850	595
227	1858	587
228	1867	579
229	1875	570
230	1884	562
231	1892	554
232	1900	546
233	1908	538
234	1916	530
235	1924	521
236	1932	513
237	1940	505
238	1949	497
239	1957	489
240	1966	481
241	1974	473
242	1983	465
243	1990	456
244	1999	448
245	2006	440
246	2013	432
247	2021	423
248	2028	415
249	2035	407
250	2044	399
251	2052	390
252	2060	382
253	2067	374
254	2075	366
255	2083	358
256	2090	349
257	2098	341
258	2105	333
259	2113	325
260	2121	316
261	2128	308
262	2137	300
263	2145	292
264	2153	284
265	2161	276
266	2169	268
267	2176	259
268	2184	251
269	2192	243
270	2200	235
271	2208	227
272	2216	219
273	2224	211
274	2231	202
275	2240	194
276	2248	186
277	2255	178
278	2263	170
279	2270	162
280	2278	154
281	2286	145
282	2293	137
283	2300	129
284	2308	121
285	2315	113
286	2323	105
287	2330	97
288	2338	89
289	2346	80
290	2353	72
291	2360	64
292	2368	56
293	2375	48
294	2384	40
295	2391	32
296	2399	24
297	2406	16
298	2414	8
299	2421	0
